frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
96,12.881,1312.9,647.6,11.2,-4.2,0.103,2.691,-0.569,0.013,0.005,1312.9,647.6,363.8,783.8,11.2,-4.2,2.69,0.10,0.89
97,12.882,368.4,786.3,-944.4,138.7,-0.721,2.910,-0.176,-0.824,0.219,1312.9,647.6,363.8,783.8,0.0,0.0,2.91,0.09,0.88
98,12.893,368.4,786.3,0.0,0.0,-0.593,2.783,-0.067,0.128,-0.127,1312.9,647.6,363.8,783.8,0.0,0.0,2.78,0.16,0.88
99,12.906,368.4,786.3,0.0,0.0,-0.510,2.702,-0.001,0.083,-0.081,1312.9,647.6,363.8,783.8,0.0,0.0,2.70,0.20,0.88
100,12.917,368.4,786.3,0.0,0.0,-0.455,2.651,0.038,0.054,-0.051,1312.9,647.6,363.8,783.8,0.0,0.0,2.65,0.22,0.88
101,12.927,368.4,786.3,0.0,0.0,-0.420,2.619,0.058,0.036,-0.032,1312.9,647.6,363.8,783.8,0.0,0.0,2.62,0.24,0.88
102,13.383,1390.6,641.7,1022.2,-144.6,0.506,2.858,0.054,0.926,0.240,1390.6,641.7,319.3,794.4,77.7,-5.9,2.86,0.13,0.90
103,13.385,1390.6,641.7,0.0,0.0,0.572,2.897,0.253,0.065,0.039,1390.6,641.7,319.3,794.4,0.0,0.0,2.90,0.15,0.90
104,13.781,1399.5,646.7,8.9,5.1,0.595,2.918,0.394,0.024,0.021,1399.5,646.7,302.3,786.0,8.9,5.1,2.92,0.16,0.89
105,13.786,1399.5,646.7,0.0,0.0,0.608,2.931,0.487,0.013,0.013,1399.5,646.7,302.3,786.0,0.0,0.0,2.93,0.17,0.89
106,13.793,368.6,784.4,-1030.8,137.7,-0.351,2.608,-0.054,-0.958,-0.322,1399.5,646.7,302.3,786.0,0.0,0.0,2.61,0.27,0.87
107,13.804,368.5,785.2,-0.1,0.7,-0.346,2.612,-0.074,0.004,0.004,1400.6,649.4,301.8,786.2,1.1,2.6,2.61,0.27,0.87
108,13.814,368.5,785.2,0.0,0.0,-0.343,2.616,-0.092,0.003,0.004,1400.6,649.4,301.8,786.2,0.0,0.0,2.62,0.27,0.87
