frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
96,8.508,1202.4,681.5,8.5,-2.0,1.836,2.267,-0.986,0.064,-0.010,1383.1,649.7,260.2,728.6,-0.2,-0.5,2.27,0.26,0.77
97,8.556,1195.6,662.7,-6.8,-18.8,1.692,2.150,-0.798,-0.144,-0.117,1391.1,654.8,265.2,722.7,8.0,5.1,2.15,-0.29,0.73
98,8.609,1279.8,765.1,84.2,102.4,2.271,2.128,-1.514,0.579,-0.022,1457.3,772.5,48.6,108.0,66.2,117.8,2.13,0.59,0.49
99,10.805,1305.7,705.3,25.9,-59.8,1.902,1.644,-0.827,-0.369,-0.484,1424.4,551.2,183.8,541.3,-32.9,-221.4,1.64,-0.59,0.73
100,11.457,812.6,541.1,-493.1,-164.2,-1.336,2.745,0.069,-3.239,1.101,1330.5,641.8,184.7,751.6,-93.9,90.6,2.75,0.00,0.60
101,11.660,1168.6,614.7,355.9,73.6,1.718,2.468,-0.534,3.054,-0.277,1293.7,632.6,169.5,768.7,-36.8,-9.2,2.47,-0.59,0.80
102,11.707,1191.5,602.1,22.9,-12.6,1.597,2.095,-0.261,-0.121,-0.373,1296.6,629.0,198.2,765.7,2.8,-3.6,2.10,-0.39,0.80
103,11.758,1235.7,695.1,44.2,93.0,1.673,1.832,-0.839,0.076,-0.263,1296.6,629.0,198.2,765.7,0.0,0.0,1.83,0.37,0.80
104,11.807,1187.6,666.4,-48.1,-28.8,1.579,2.111,-0.755,-0.095,0.279,1270.4,628.6,180.2,767.0,-26.1,-0.4,2.11,0.12,0.83
105,11.856,1173.9,505.2,-13.7,-161.2,1.496,2.157,0.444,-0.082,0.046,1254.8,627.5,184.1,768.7,-15.6,-1.1,2.16,-0.25,0.85
106,11.907,1187.1,408.1,13.2,-97.0,1.519,2.008,0.958,0.022,-0.149,1249.8,628.5,186.7,771.4,-5.1,0.9,2.01,-0.29,0.84
107,12.005,1174.7,305.0,-12.4,-103.2,1.342,1.995,1.597,-0.176,-0.013,1228.6,630.3,204.1,769.1,-21.1,1.8,1.99,0.20,0.83
108,12.055,564.9,458.5,-609.9,153.5,-2.386,1.818,0.573,-3.728,-0.176,1204.0,629.3,245.4,765.9,-24.6,-0.9,1.82,0.59,0.61
109,12.105,1093.2,467.3,528.4,8.8,0.962,2.340,0.824,3.348,0.522,1186.1,631.2,264.4,765.9,-17.9,1.9,2.34,0.39,0.86
110,12.157,1100.3,503.7,7.1,36.4,1.089,2.397,0.398,0.127,0.057,1171.0,631.2,283.0,764.6,-15.1,0.0,2.40,0.18,0.88
111,12.210,1086.9,446.5,-13.4,-57.2,1.025,2.427,0.816,-0.065,0.030,1165.4,630.7,293.5,764.4,-5.6,-0.5,2.43,0.23,0.87
